Step,Value
84,5.628855433315039e-06
85,5.559671080845874e-06
86,5.6078160923789255e-06
87,5.592429715761682e-06
88,5.420481102191843e-06
89,5.406455784395803e-06
90,5.465637059387518e-06
91,5.433811111288378e-06
92,5.360849172575399e-06
93,5.420088200480677e-06
94,5.1876822908525355e-06
95,5.185306690691505e-06
96,5.199119641474681e-06
97,5.180191692488734e-06
98,5.260492343950318e-06
99,5.177364073460922e-06
100,5.075979970570188e-06
101,5.1051765694865026e-06
102,5.161442004464334e-06
103,5.011285338696325e-06
104,4.918738795822719e-06
105,5.151714958628872e-06
106,4.9513523663335945e-06
107,4.91885202791309e-06
108,4.9143391152028926e-06
109,4.892010565527016e-06
110,4.831110800296301e-06
111,4.822082246391801e-06
0,0.0006860070861876011
1,0.0003281725512351841
2,0.00023297376174014062
0,0.0008205870981328189
1,0.0004000768531113863
2,0.0003363135037943721
3,0.00026654955581761897
4,0.00019584011170081794
5,0.00015453249216079712
6,0.00012974609853699803
7,0.00011061959230573848
8,9.594903531251475e-05
9,8.357897604582831e-05
10,7.47156809666194e-05
11,6.680267688352615e-05
12,6.182405923027545e-05
13,5.734841033699922e-05
14,5.4097090469440445e-05
15,5.0226790335727856e-05
16,4.78704969282262e-05
17,4.595735663315281e-05
18,4.387484659673646e-05
19,4.256008833181113e-05
20,4.096358679817058e-05
21,3.9741989894537255e-05
22,3.8483547541545704e-05
23,3.715647108037956e-05
24,3.656256012618542e-05
25,3.562973506632261e-05
26,3.47642635460943e-05
27,3.433191159274429e-05
28,3.351466511958279e-05
29,3.345191362313926e-05
30,3.25578439515084e-05
31,3.244325489504263e-05
32,3.157325409119949e-05
33,3.1594583560945466e-05
34,3.0944665923016146e-05
35,3.073438710998744e-05
36,3.020375152118504e-05
37,3.0026762033230625e-05
38,2.9853243177058175e-05
39,2.9289631129358895e-05
40,2.9185899620642886e-05
41,2.8719530746457167e-05
42,2.891704934882e-05
43,2.8581842343555763e-05
44,2.8368052880978212e-05
45,2.8021073376294225e-05
46,2.792713712551631e-05
47,2.762529948086012e-05
48,2.7631602279143408e-05
49,2.72233610303374e-05
50,2.713795765885152e-05
51,2.7042953661293723e-05
52,2.6928644729196094e-05
53,2.6703561161411926e-05
54,2.65587823378155e-05
55,2.643480729602743e-05
56,2.6464877009857446e-05
57,2.609270995890256e-05
58,2.6140800400753506e-05
59,2.5884253773256205e-05
60,2.5681689294287935e-05
61,2.565510840213392e-05
62,2.555012542870827e-05
63,2.538271655794233e-05
64,2.5206516511389054e-05
65,2.526941170799546e-05
66,2.508798206690699e-05
67,2.4926306650741026e-05
68,2.4897151888580993e-05
69,2.4926865080487914e-05
70,2.461595977365505e-05
71,2.454951754771173e-05
72,2.4601833501947112e-05
73,2.4437358661089092e-05
74,2.4302993551827967e-05
75,2.414704613329377e-05
76,2.426293576718308e-05
77,2.4128283257596195e-05
78,2.3859978682594374e-05
79,2.3936076104291715e-05
80,2.373511415498797e-05
81,2.37653966905782e-05
82,2.370061702094972e-05
83,2.371468326600734e-05
84,2.3486016289098188e-05
85,2.3514650820288807e-05
86,2.3405365936923772e-05
87,2.333374686713796e-05
88,2.3192609660327435e-05
89,2.3251388483913615e-05
90,2.3074582713888958e-05
91,2.3207772755995393e-05
92,2.2860467652208172e-05
93,2.2995596737018786e-05
94,2.284043875988573e-05
95,2.28624830924673e-05
96,2.286984999955166e-05
97,2.2665000869892538e-05
98,2.2611719032283872e-05
99,2.253958155051805e-05
100,2.261032204842195e-05
101,2.2503141735796817e-05
102,2.2363321477314457e-05
103,2.2304730009636842e-05
104,2.2355636247084476e-05
105,2.233311715826858e-05
106,2.213678089901805e-05
107,2.2165393602335826e-05
108,2.2145195543998852e-05
109,2.208362093369942e-05
110,2.1954718249617144e-05
111,2.1944757463643327e-05
112,2.2001406250637956e-05
113,2.1953637769911438e-05
114,2.1684470993932337e-05
115,2.1664878659066744e-05
116,2.1741827367804945e-05
117,2.1728705178247765e-05
118,2.170927655242849e-05
119,2.1691612346330658e-05
120,2.1581883629551157e-05
121,2.135411705239676e-05
122,2.1522339011426084e-05
123,2.1327168724383228e-05
124,2.150501859432552e-05
